,season,session,game_id,game_date,team,opp_team,strength_state,toi,gf,ga,hdgf,hdga,xgf,xga,sf,sa,hdsf,hdsa,ff,fa,hdff,hdfa,cf,ca,bsf,bsa,msf,msa,hdmsf,hdmsa,teammate_block,hf,ht,give,take,ozf,nzf,dzf,fow,fol,ozfw,ozfl,nzfw,nzfl,dzfw,dzfl,pent0,pent2,pent4,pent5,pent10,pend0,pend2,pend4,pend5,pend10,ozs,nzs,dzs,otf
30,20162017,P,2016030154,2017-04-20,NSH,CHI,5v5,51.666666666666664,3,0,1,0,2.738064651377499,2.299853206379339,21,29,5,2,28,41,6,7,0,0,11,15,7,12,1,5,0,20,13,16,11,14,20,16,25,25,7,12,10,5,8,8,0,0,1,0,0,0,3,0,0,0,0,0,0,0
31,20162017,P,2016030154,2017-04-20,NSH,CHI,5vE,0.8666666666666667,1,0,1,0,0.8080077767372131,0.0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,20162017,P,2016030231,2017-04-26,NSH,STL,4v3,0.75,0,0,0,0,0.5563343092799187,0.0,4,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,20162017,P,2016030231,2017-04-26,NSH,STL,4v4,1.25,0,0,0,0,0.14190173521637917,0.0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,20162017,P,2016030231,2017-04-26,NSH,STL,4v5,2.0,0,0,0,0,0.0,0.39027318358421326,0,1,0,1,0,4,0,2,0,0,0,0,0,3,0,1,0,1,1,0,1,2,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,20162017,P,2016030231,2017-04-26,NSH,STL,5v3,0.4666666666666667,0,0,0,0,0.05832652002573013,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,20162017,P,2016030231,2017-04-26,NSH,STL,5v4,2.95,2,0,2,0,0.7178121712058783,0.0,8,0,2,0,9,0,2,0,0,0,1,0,1,0,0,0,0,1,1,0,0,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,20162017,P,2016030231,2017-04-26,NSH,STL,5v5,51.016666666666666,2,3,1,2,1.7585679180920124,1.911596060032025,18,28,6,3,28,38,6,3,0,0,3,18,10,10,0,0,0,32,34,6,5,10,22,18,25,22,5,8,11,9,9,5,0,2,0,0,0,0,2,0,0,0,0,0,0,0
38,20162017,P,2016030231,2017-04-26,NSH,STL,5vE,1.5666666666666667,0,0,0,0,0.0,0.174360491335392,0,1,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,20162017,P,2016030231,2017-04-26,STL,NSH,3v4,0.75,0,0,0,0,0.0,0.5563343092799187,0,4,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,20162017,P,2016030231,2017-04-26,STL,NSH,3v5,0.4666666666666667,0,0,0,0,0.0,0.05832652002573013,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,20162017,P,2016030231,2017-04-26,STL,NSH,4v4,1.25,0,0,0,0,0.0,0.14190173521637917,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,20162017,P,2016030231,2017-04-26,STL,NSH,4v5,2.95,0,2,0,2,0.0,0.7178121712058783,0,8,0,2,0,9,0,2,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,20162017,P,2016030231,2017-04-26,STL,NSH,5v4,2.0,0,0,0,0,0.39027318358421326,0.0,1,0,1,0,4,0,2,0,0,0,0,0,3,0,1,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,20162017,P,2016030231,2017-04-26,STL,NSH,5v5,51.016666666666666,3,2,2,1,1.911596060032025,1.7585679180920124,28,18,3,6,38,28,3,6,0,0,18,3,10,10,0,0,0,34,32,4,5,16,18,10,22,25,8,5,9,11,5,9,0,2,0,0,0,0,2,0,0,0,0,0,0,0
